naam,latitude,longitude,provincie,honden_toegestaan,stroom,waterfront,aantal_plekken,prijs,website,telefoon,openingstijden,afbeelding
Minicamping Den Aom,52.1518195,6.8400493,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,http://www.minicamping-denaom.nl/,+31 53 569 6585,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Vakantiepark Hunzedal,52.9221895,6.8100432,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.roompot.nl/vakantieparken/nederland/drenthe/vakantiepark-hunzedal/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Scholtenhagen,52.1441387,6.7227356,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingscholtenhagen.nl/accommodaties/kamperen,+31 53 572 2384,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Paardetange,52.9429109,6.8741325,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Veld,52.07968,6.7104683,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.minicampingachterhoek.nl/,+31 6 30192000,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Beekhoeve,52.4428848,6.6692789,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdebeekhoeve.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping Erve Henderiks Hoeve,52.32896,6.6860208,Overijssel,Onbekend,Ja,Nee,Onbekend,Onbekend,https://henderikshoeve.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Grasbroek,52.2959549,6.6467152,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.grasbroek.nl/,+31 74 384 1827,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Huurne,52.3507269,6.5727336,Overijssel,Onbekend,Ja,Ja,Onbekend,15 EUR,https://www.camperplaatsdehuurne.nl,+31 6 26991789,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Boerderijcamping De Wezel,52.1867115,6.5682721,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.dewezel.nl,+31 6 25353109,Apr 1- Nov 1,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Roggeberg,52.9373386,6.3447889,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Roggeberg,52.9363207,6.3358625,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Landgoed Geerdijk,52.4723429,6.5266627,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.landgoedgeerdijk.nl/,+31 6 14612405,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Grimberghoeve,52.3269827,6.5306581,Overijssel,Onbekend,Nee,Nee,Onbekend,28.70 EUR,https://grimberghoeve.nl/svr-camping,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Boerderij de Omleiding,53.2434169,5.9748963,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.boerderijdeomleiding.nl,+31 6 30848902,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Koaipleats,53.2876353,5.9719663,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://dekoaipleats.nl/,+31 511 424 549,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Zeester,52.7954087,4.6909393,North Holland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.campingzeester.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Sint Maartenszee,52.793791,4.6902926,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingsintmaartenszee.nl/,+31 224 561 401,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Witte Zand,52.2939442,6.5429804,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.wittezand.nl/,+31 548 513 394,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Landgoed Overbetuwe,51.9482532,5.7751616,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingoverbetuwe.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Kerkemeijer,52.1023718,6.5007724,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.kerkemeijer.nl/camping/,+31 545 271 202,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Falkenborg,52.0782547,6.5304412,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.falkenborg.nl/,+31 6 18177376,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Lemeler Esch,52.4662971,6.4231846,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://lemeleresch.nl/,+31 572 331 241,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Martenshoek,52.4088527,6.4864844,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://campingmartenshoek.nl,+31 548 681276,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Vosje,52.4059826,6.4857759,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://boerderijcampingtvosje.nl/,+31 548 681376,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping 't Heidestek,53.2359893,6.0418514,Friesland,Onbekend,Nee,Nee,23,Onbekend,https://www.campingtheidestek.nl,+31 6 29127727;+31 6 30497090,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Zuurberg,52.2618751,6.4331426,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.dezuurberg.nl/camping,+31 6 22235242,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping De Wedze,53.2414076,6.0985848,Friesland,Onbekend,Nee,Nee,25,Betaald,https://www.campingdewedze.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Bosrand,52.2134552,6.4193016,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,+31 573 421 229,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Bles,52.2380459,6.4463025,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingdebles.nl/,+31 547 362 685,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Het Kleine Velthuis,52.2457541,6.4787564,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingmarkelo.com/,+31 6 37159698,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Erve Harkink,52.1509384,6.4312493,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://erveharkink.nl/,+31 573 251 775,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Schoneveld,52.1054374,6.4489521,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingschoneveld.nl/,+31 6 21382343,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping 't Fleerhof,52.1117864,6.4250078,Gelderland,Onbekend,Ja,Nee,15,Betaald,https://www.fleerhof.nl/,+31 573 441 370,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Tamaring,52.1038532,6.442868,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.camping-tamaring.nl/,+31 573 451 486;+31 6 13055894,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Huttert,52.4148062,6.3945241,Overijssel,Onbekend,Nee,Nee,15,Onbekend,https://www.dehuttert.nl,+31 572 301274,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Spikkie,52.375816,6.3633798,Overijssel,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.spikkie.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Besten,52.3517625,6.3826723,Overijssel,Onbekend,Ja,Nee,Onbekend,Betaald,https://campingbesten.nl/,+31 6 53 96 68 24,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Molenhoek,52.3689127,6.3953415,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.svr-haarle.nl/,+31 6 20840108,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Sallandshoeve,52.3219297,6.3457383,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.sallandshoeve.nl/kamperen,+31 572 321 342,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping de Coolewee,52.259797,6.3529219,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.coolewee.nl/,+31 570 541 103,Apr 1 - Sep 30,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Uit & Thuis,53.2713726,6.1508937,Friesland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.minicampinguitenthuis.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kolk,52.1736063,6.3839377,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.boerderijcampingdekolk.nl,+31 573 251 609;+31 6 40312458,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping 't Groote Veld,52.1286473,6.363901,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.camping-grooteveld.nl/,+31 573 252 514;+31 6 51093707,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Regenerative farm & camping 't Gagel,52.1390004,6.3908569,Gelderland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.gagel.nl,+31 6 17231546,Mar 15 - Oct 31,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurcamping Eend,52.0448792,6.4066687,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.landgoedhetzand.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Haller,52.0777147,6.3801958,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingt-haller.nl,+31 575 467 253,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kloostertuin,52.040281,6.3424779,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://de-kloostertuin.business.site/,+31 575 463 369,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurcamping Veldhoen,52.0419287,6.3978215,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.landgoedhetzand.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Lebbink,52.0843314,6.3548441,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://tlebbink.nl/,+31 575 556 680,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Meestershuus,52.0481652,6.367444,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.meestershuus.nl,+31 575 467 376,Apr 1 - Oct 31,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Sevinkmolen,51.9970506,6.7184767,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Paardeweitje,51.988661,6.7228953,Gelderland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.paardeweitje.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Slotboom,51.9263477,6.6407614,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingslotboom.nl/,+31 543 565 236,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Poel,53.1645068,6.1870736,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://depoelcamping.nl/,+31 6 22843228,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping Roerdinkhof,51.9099206,6.7177873,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://roerdinkhof.nl/mini-camping/,+31 543 564 586,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping De Welp,53.1759948,6.0759887,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.theetuindewelp.nl,+31 512 472 678,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Zuidhoek,51.7960094,3.8919409,South Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingzuidhoek.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Klepperstee,51.8181058,3.8979525,South Holland,Ja,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Zonnehoek,51.9227172,6.4804979,Gelderland,Onbekend,Ja,Nee,Onbekend,Onbekend,http://www.campingdezonnehoek.com/,+31 6 46440932,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Hessenoord,51.9837026,6.4482036,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campinghessenoord.nl,+31 6 53764791,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Hessenoord,51.984775,6.4481121,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campinghessenoord.nl,+31 6 53764791,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Groepscamping Het Bosland,52.0159876,6.3950522,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.hetbosland.nl/,+31 314 621 059,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
EuroParcs Poort van Maastricht,50.8581607,5.7713743,Limburg,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.europarcs.nl/vakantieparken/nederland/limburg/poort-van-maastricht,+31 43 604 0075,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping Koenders,51.8898359,6.5689168,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.minicamping-koenders.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Kampeerboerderij Villa's Weide,51.946564,6.368456,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,http://www.kampeer-boerderij.nl/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping De Andere Kant (FKK),51.9207374,6.5353542,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,http://minicampingdeanderekant.nl/,+31 543 461 319,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Meyböske,51.9095857,6.4153364,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.meyboske.nl/,+31 315 329 728,Apr 1-Nov 1,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Op de Keizer,51.9102788,6.4074269,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.opdekeizer.nl/,+31 315 323 763,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Natuurkampeerterrein Nieuwe Buyl,51.9104614,6.4281792,Gelderland,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.nieuwebuyl.nl/,+31 6 13983898;+31 6 83985580,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
't Oostenriek,51.8353346,6.3997603,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.oostenriek.nl/,+31 315 377 209,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
"Camping ""De Bosrand""",51.8375329,6.4034059,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Kemperplas,51.9161512,6.3071071,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.kemperplas.nl,+31 315 323 176,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Het Kleine Laar,51.9132559,6.3074915,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://hetkleinelaar.nl/,+31 315 323 279,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Rijnstrangen,51.8970584,6.070271,Gelderland,Onbekend,Nee,Nee,Onbekend,Betaald,https://derijnstrangen.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Toeven,52.012252,6.2853538,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://campingtoeven.nl/,+31 314 785 073,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Siebieverden,51.9879836,6.1953848,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.siebieverden.nl,+31 6 22751371;+31 6 52065883,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping Smids,51.9814351,6.0609076,Gelderland,Onbekend,Nee,Nee,25,Onbekend,https://rhederlaag.nl/campings/kampeerboerderij-smids/,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Eikeboom,52.0174748,6.0631569,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Wellinghoeve,51.9179553,6.0023638,Gelderland,Onbekend,Ja,Nee,25,15 EUR,https://www.wellinghoeve.nl/Camperplaatsen-en-prijzen/,+31 6 30706539,Mar-Nov,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Mongoolse Camping QKLQ,51.910177,5.9441198,Gelderland,Onbekend,Nee,Nee,Onbekend,Betaald,https://www.gercamping.com,+31 26 325 3480,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Oosterbeeks Rijnoever,51.9732775,5.8463104,Gelderland,Onbekend,Ja,Nee,Onbekend,Betaald,https://www.oosterbeeksrijnoever.nl,+31 26 333 3777,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Lindenhof,52.0083322,5.8007674,Gelderland,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.camping-lindenhof.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Wiemelinkhof,52.0650112,6.3192297,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.wiemelinkhof.nl,+31 6 15880045,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Minicamping de Bult,52.0366475,6.2461858,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://zorgboerderijdebult.nl/recreatie,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Wagenvoort,52.1252808,6.2865126,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.kampeerboerderijwagenvoort.nl/,+31 575 551 378,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Landschapscamping 't Lentinck,52.1280671,6.1555685,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://lentinck.nl/,+31 575 476265,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Huurne,52.1843721,6.2756809,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Waldhoorn,52.1638203,6.2502793,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Hoge Moât,52.2319773,6.3203346,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.dehogemoat.nl,+31 570 541 493,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping De Flierweide,52.2569729,6.2941285,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.flierweide.nl,+31 570 541 478,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Alinghoek,52.9554309,6.7973919,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingalinghoek.nl,+31 599 564 271,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Bospark Lunsbergen,52.9313513,6.748985,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.bosparklunsbergen.nl,+31 88 044 4999,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping 't Haantje,52.8153923,6.8355947,Drenthe,Onbekend,Ja,Ja,30,17.30 EUR,https://www.despelthoeve.nl/camping-t-haantje,+31 6 51276072,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Vakantiepark Capfun De Fruithof,52.8295052,6.8622518,Drenthe,Onbekend,Ja,Nee,Onbekend,Onbekend,https://www.fruithof.nl,+31 591 512 427,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Lente van Drenthe,52.9777964,6.7586309,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,http://www.lentevandrenthe.nl/,+31 599 564 333,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Horstmannsbos,52.969941,6.8073325,Drenthe,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.horstmannsbos.nl,+31 599 564 270,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Klepperstee,51.8158237,3.9012607,South Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.klepperstee.com,+31 187 681 511,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Toppershoedje,51.8224441,3.9136015,South Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.rcn.nl/nl/vakantieparken/nederland/zuid-holland/rcn-toppershoedje,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
de Wildernis,52.2324937,6.1331061,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.ecostay.nl/de-wildernis,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Landgoedcamping De Lathmer,52.2136325,6.143666,Gelderland,Onbekend,Nee,Nee,17,Onbekend,https://www.campingdelathmer.nl,+31 571 262 057,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping de Weeltenkamp,52.2495089,6.0566787,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.deweeltenkamp.nl/,+31 55 200 0204,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Lichtbond Gelre,52.0698371,6.0269726,Gelderland,Ja,Ja,Nee,Onbekend,Betaald,https://lbgelre.nl/,+31 313 619 475,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Camping Terlet,52.0630476,5.9348523,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.campingterlet.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Ruigeveld,52.1274633,6.001184,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
